gene_symbol,log2_fold_change,p_value,padj,expression_level,chromosome
EGFR,3.42,1.2e-15,8.5e-13,High,7p11.2
TP53,-1.87,3.4e-10,2.1e-08,Medium,17p13.1
VEGFA,2.91,5.6e-12,4.2e-10,High,6p21.1
MYC,2.15,1.1e-08,5.3e-07,High,8q24.21
CCND1,1.73,4.2e-07,8.9e-06,Medium,11q13.3
BRCA1,-0.95,2.1e-05,1.5e-04,Medium,17q21.31
CDKN1A,1.52,8.7e-06,7.2e-05,Medium,6p21.2
AKT1,0.87,3.2e-04,8.1e-04,Medium,14q32.33
MTOR,1.28,1.5e-05,9.8e-05,Medium,1p36.22
PTEN,-2.31,7.8e-13,5.1e-11,Low,10q23.31
KRAS,1.95,2.3e-09,1.1e-07,High,12p12.1
HIF1A,2.67,8.9e-11,5.7e-09,High,14q23.2
NFKB1,1.41,5.4e-06,4.8e-05,Medium,4q24
STAT3,1.63,2.8e-06,2.5e-05,Medium,17q21.2
CTNNB1,0.72,1.2e-03,3.1e-03,Medium,3p22.1
